codice_identificativo;codice_istat;denominazione;comune;prov;cap;Indirizzo;superficie;tot_consistenza_documenti;spese_tot;WGS84_Y;WGS84_X
141;15051;Carugate - Biblioteca Comunale;CARUGATE;MI;20061;VIA SAN FRANCESCO ;890;29275;295046,39;45,55250866;9,34167154
142;17029;Brescia - Biblioteca Comunale Largo Torrelunga;BRESCIA;BS;25127;LARGO TORRELUNGA 6 ;220;17884;;45,53598515;10,232179
143;20071;Borgo Virgilio - Biblioteca Comunale;BORGO VIRGILIO;MN;46034;PIAZZA ALDO MORO 2;246;20522;78050;;
144;17016;Berzo Demo - Biblioteca Comunale;BERZO DEMO;BS;25040;PIAZZA DONATORI DI SANGUE 1;35;4221;7594;46,0928242;10,3364998
145;18063;Filighera - Biblioteca Comunale;FILIGHERA;PV;27010;  ;36;550;183,96;;
146;108028;Lissone - Biblioteca Comunale;LISSONE;MB;20035;PIAZZA IV NOVEMBRE 2;2574;94895;522496,69;45,60954484;9,24385868
147;17159;Quinzano d'Oglio - Biblioteca Comunale;QUINZANO D'OGLIO;BS;25027;PIAZZA ALDO MORO 6;480;21189;62203,42;45,31314946;10,00884069
148;16077;Clusone - Biblioteca Comunale;CLUSONE;BG;24023;VIA ROMA 13;1080;39559;144304,35;45,88738751;9,94675601
149;16088;Credaro - Biblioteca Comunale;CREDARO;BG;24060;VIA ARMANDO DIAZ 1;140;6091;25743,16;45,66009151;9,92910909
150;13246;Zelbio - Biblioteca Comunale;ZELBIO;CO;22020;PIAZZA ROMA 1;110;11141;500;45,90487498;9,18054167
151;108034;Muggiò - Biblioteca Comunale;MUGGIA;MB;20053;PIAZZA GIUSEPPE GARIBALDI 20;350;35430;193311,08;45,59317044;9,22727257
152;98030;Livraga - Biblioteca Comunale;LIVRAGA;LO;26814;PIAZZA ADA NEGRI ;60;2298;5309,95;45,19123608;9,54719132
153;19022;Casalmorano - Biblioteca Comunale;CASALMORANO;CR;26020;VIA DON GHIDETTI 9;80;6166;13724,46;45,28704234;9,90088236
154;15170;Pero - Biblioteca Comunale;PERO;MI;20016;VIA DONATORI DEL SANGUE 1;300;12631;68176,13;45,51534096;9,06530551
155;108051;Busnago - Biblioteca Comunale Dino Buzzati;BUSNAGO;MB;20040;VIA SAN ROCCO 14;235;17794;77465;45,61535514;9,46368549
156;17191;Treviso Bresciano - Biblioteca Comunale;TREVISO BRESCIANO;BS;25070;VIA ROMA 19;60;3682;3320,13;45,71260862;10,4627851
157;16137;Monasterolo del Castello - Biblioteca Comunale;MONASTEROLO DEL CASTELLO;BG;24060;VIA BIALI ;94;3699;612,12;45,76243081;9,93009193
158;14066;Tirano - Biblioteca Civica Paolo e Paola Maria Arcari;TIRANO;SO;23037;PIAZZA PIEVANI 1;398;83554;143802,3;46,21701133;10,17259926
159;15177;Pozzo d'Adda - Biblioteca Comunale G.Testori;POZZO D'ADDA;MI;20060;VIA COLOMBO 17;160;7591;57671;45,57730399;9,50101492
160;17055;Cividate Camuno - Biblioteca Comunale;CIVIDATE CAMUNO;BS;25040;VIA S. STEFANO 2;461;8258;36262,14;45,94255345;10,27559235
161;15146;Milano - Biblioteca Comunale Rionale Parco Sempione;MILANO;MI;20131;VIALE CERVANTES ;230;5951;;45,47559463;9,17596008
162;14054;Prata Camportaccio - Biblioteca Comunale;PRATA CAMPORTACCIO;SO;23020;VIA SPLUGA 112;40;3730;40653;46,2747299;9,39718543
163;17121;Odolo - Biblioteca Comunale;ODOLO;BS;25076;PIAZZETTA BERNARDINO FAINO ;261;22090;33939;;
164;18112;Pieve Albignola - Biblioteca Comunale;PIEVE ALBIGNOLA;PV;27030;VIA STAZIONE ;77;705;3189,01;45,11364429;8,95949819
165;16250;Medolago - Biblioteca Comunale;MEDOLAGO;BG;24030;VIA EUROPA 4;120;11965;22764,02;45,67263379;9,49280842
166;17024;Bovegno - Biblioteca Comunale;BOVEGNO;BS;25061;VIA A. CANOSSI ;50;4635;10974;45,79180525;10,26986946
167;97002;Airuno - Biblioteca Comunale;AIRUNO;LC;23881;VIA VITTORIO EMANUELE II ;180;7380;21250,6;45,75548385;9,42376184
168;20041;Piubega - Biblioteca Comunale;PIUBEGA;MN;46040;PIAZZA CAVALLARA 17;67;4665;10262,8;;
169;15108;Gorgonzola - Biblioteca Comunale;GORGONZOLA;MI;20064;VIA MONTENERO 30;440;64548;239156,48;45,52915638;9,40803727
170;15086;Cormano - Biblioteca Comunale Ragazzi BI;CORMANO;MI;20032;VIA RODARI 3;230;15690;68613,94;45,54604367;9,17135029
171;16028;Bolgare - Biblioteca Comunale;BOLGARE;BG;24060;VIA DANTE ALIGHIERI 24;200;16366;30879,87;45,63383948;9,817871
172;19062;Offanengo - Biblioteca Comunale;OFFANENGO;CR;26010;VIA CLAVELLI MARTINI 5;894;22658;66379;45,38276746;9,74445874
173;15146;Milano - Biblioteca Comunale Rionale Gallaratese;MILANO;MI;20131;VIA QUARENGHI 21;850;40355;;45,49648317;9,11523212
174;97048;Merate - Biblioteca Comunale Alessandro Manzoni;MERATE;LC;23807;PIAZZA RIVA SPOLETI 1;770;56743;183624,09;45,69863742;9,41410717
175;19066;Palazzo Pignano - Biblioteca Comunale;PALAZZO PIGNANO;CR;26020;VIA MARCO POLO 31;70;12450;28623;45,392322;9,59195709
176;15146;Milano - Biblioteca Comunale Rionale Tibaldi;MILANO;MI;20131;VIALE TIBALDI 41;520;35800;;45,44464305;9,18366349
177;15146;Milano - Biblioteca Comunale Rionale Villapizzone;MILANO;MI;20131;VIA FERRARIO GRUGNOLA 3;230;24790;;45,49864281;9,147091
